form,tags
abaliénant,"['gerund', 'participle', 'present']"
abaliénas,"['historic', 'indicative', 'past', 'second-person', 'singular']"
abaliénasse,"['first-person', 'imperfect', 'singular', 'subjunctive']"
abaliénassent,"['imperfect', 'plural', 'subjunctive', 'third-person']"
abaliénasses,"['imperfect', 'second-person', 'singular', 'subjunctive']"
abaliénassiez,"['imperfect', 'plural', 'second-person', 'subjunctive']"
abaliénassions,"['first-person', 'imperfect', 'plural', 'subjunctive']"
abaliéner,['infinitive']
abaliénera,"['future', 'indicative', 'singular', 'third-person']"
abaliénerai,"['first-person', 'future', 'indicative', 'singular']"
abaliéneraient,"['conditional', 'plural', 'third-person']"
abaliénerais,"['conditional', 'first-person', 'singular']"
abaliénerais,"['conditional', 'second-person', 'singular']"
abaliénerait,"['conditional', 'singular', 'third-person']"
abaliéneras,"['future', 'indicative', 'second-person', 'singular']"
abaliénerez,"['future', 'indicative', 'plural', 'second-person']"
abaliéneriez,"['conditional', 'plural', 'second-person']"
abaliénerions,"['conditional', 'first-person', 'plural']"
abaliénerons,"['first-person', 'future', 'indicative', 'plural']"
abaliéneront,"['future', 'indicative', 'plural', 'third-person']"
abaliénez,"['imperative', 'plural', 'second-person']"
abaliénez,"['indicative', 'plural', 'present', 'second-person']"
abaliéniez,"['imperfect', 'indicative', 'plural', 'second-person']"
abaliéniez,"['plural', 'present', 'second-person', 'subjunctive']"
abaliénions,"['first-person', 'plural', 'present', 'subjunctive']"
abaliénions,"['first-person', 'imperfect', 'indicative', 'plural']"
abaliénons,"['first-person', 'imperative', 'plural']"
abaliénons,"['first-person', 'indicative', 'plural', 'present']"
abaliénâmes,"['first-person', 'historic', 'indicative', 'past', 'plural']"
abaliénât,"['imperfect', 'singular', 'subjunctive', 'third-person']"
abaliénâtes,"['historic', 'indicative', 'past', 'plural', 'second-person']"
abaliénèrent,"['historic', 'indicative', 'past', 'plural', 'third-person']"
abaliéné,"['participle', 'past']"
abaliénée,"['feminine', 'singular']"
abaliénées,"['feminine', 'plural']"
abaliénés,"['masculine', 'plural']"
abaloge,"['imperative', 'second-person', 'singular']"
abaloge,"['present', 'singular', 'subjunctive', 'third-person']"
abaloge,"['first-person', 'present', 'singular', 'subjunctive']"
abaloge,"['first-person', 'indicative', 'present', 'singular']"
abaloge,"['indicative', 'present', 'singular', 'third-person']"
abalogea,"['historic', 'indicative', 'past', 'singular', 'third-person']"
abalogeai,"['first-person', 'historic', 'indicative', 'past', 'singular']"
abalogeaient,"['imperfect', 'indicative', 'plural', 'third-person']"
